"ag-bie", "rosco", "comment"
"author", "r_author", ""
"class", "r_class", ""
"classGuid", "", ""
"commonName", "r_common_name", ""
"commonNameSingle", "", ""
"conservationStatus", "", ""
"family", "r_family", ""
"familyGuid", "", ""
"genus", "r_genus", ""
"genusGuid", "", ""
"guid", "", ""
"highlight", "", ""
"id", "", ""
"idxtype", "", ""
"infoSourceName", "", ""
"infoSourceURL", "", ""
"kingdom", "r_kingdom", ""
"kingdomGuid", "", ""
"linkIdentifier", "", ""
"name", "", ""
"nameComplete", "", ""
"nameFormatted", "", ""
"nomenclaturalCode", "", ""
"nomenclaturalStatus", "", ""
"occurrenceCount", "", ""
"order", "r_order", ""
"orderGuid", "", ""
"parentGuid", "", ""
"phylum", "r_phylum", ""
"phylumGuid", "", ""
"rank", "", ""
"rankID", "", ""
"scientificName", "", ""
"scientificNameAuthorship", "", ""
"species", "r_species", ""
"speciesGuid", "", ""
"subclass", "", ""
"subclassGuid", "", ""
"subkingdom", "", ""
"subkingdomGuid", "", ""
"superclass", "", ""
"superclassGuid", "", ""
"taxonomicStatus", "", ""
